"",".id","ingroup_with_kegg","ingroup_without_kegg","outgroup_with_kegg","outgroup_without_kegg","fold_change","p_value","p_adjust","kegg","name"
"7","Italy_75",0,45,111,319,-4.10998246098603,4.01446976873031e-06,0.0236813571657401,"K04654","hypD; hydrogenase expression/formation protein"
"51","Italy_75",13,32,23,407,2.43321751534386,4.16586984362523e-06,0.024566134467858,"K03049","rpoE1; DNA-directed RNA polymerase"
"52","Italy_75",13,32,23,407,2.43321751534386,4.16586984362523e-06,0.024566134467858,"K05522","nei; endonuclease VIII [EC:3.2.2.-"
"80","Italy_75",7,38,3,427,4.47873217459623,4.21522966481853e-06,0.0248529941037701,"K01612","bsdC; vanillate/4-hydroxybenzoate decarboxylase subunit"
"60","Italy_75",11,34,15,415,2.80888077628856,4.41445163621045e-06,0.0260231923954606,"K08851","TP53RK, PRPK, BUD32; TP53"
"56","Italy_75",12,33,19,411,2.59337474053736,4.56488277638458e-06,0.0269054190840107,"K06932","tiaS; tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]"
"48","Italy_75",14,31,28,402,2.25633975325979,4.88407113136904e-06,0.0287818311771578,"K06936","raSEA; archaeosine synthase beta-subunit"
"45","Italy_75",16,29,38,392,2.0084122398162,4.91049634081998e-06,0.0289326444401113,"K03166","top6A; DNA topoisomerase VI"
"21","Italy_75",6,39,207,223,-1.85218470351838,5.16040851036121e-06,0.0303999665345379,"K03406","mcp; methyl-accepting chemotaxis protein"
"24","Italy_75",10,35,251,179,-1.39327570580362,5.20221386829987e-06,0.0306410396842863,"K03705","hrcA; heat-inducible transcriptional repressor"
"15","Italy_75",2,43,151,279,-2.98206498606529,5.81800753781138e-06,0.0342622463901712,"K03975","dedA; membrane-associated protein "
"62","Italy_75",10,35,12,418,2.99330534742599,5.97776582578597e-06,0.0351970851822278,"K01136","IDS; iduronate 2-sulfatase [EC:3.1.6.13]"
"39","Italy_75",20,25,62,368,1.62407153776027,6.01681948060253e-06,0.0354210162823071,"K03932","lpqC; polyhydroxybutyrate depolymerase "
"29","Italy_75",17,28,310,120,-0.932321810764113,6.47090662954538e-06,0.0380877564215041,"K04485","radA, sms; DNA repair"
"71","Italy_75",8,37,6,424,3.67137725253863,6.88739118608836e-06,0.0405185223477578,"K15334","NCL1, TRM4; multisite-specific tRNA:(cytosine-C5)-methyltransferase"
"72","Italy_75",8,37,6,424,3.67137725253863,6.88739118608836e-06,0.0405185223477578,"K15314","sgcE, mdpE, ncsE, kedE,"
"73","Italy_75",8,37,6,424,3.67137725253863,6.88739118608836e-06,0.0405185223477578,"K15058","amnA; 2-aminophenol/2-amino-5-chlorophenol 1,6-dioxygenase subunit"
"8","Italy_75",0,45,107,323,-4.10998246098603,7.2447236492675e-06,0.0426134645049914,"K07075","K07075; uncharacterized protein "
"41","Italy_75",17,28,45,385,1.85194949818045,7.43081567262836e-06,0.0437006269707274,"K10960","chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide"
"49","Italy_75",13,32,25,405,2.31292328162615,8.50075091494882e-06,0.0499759146289841,"K14564","NOP56; nucleolar protein 56"
"50","Italy_75",13,32,25,405,2.31292328162615,8.50075091494882e-06,0.0499759146289841,"K03236","EIF1A; translation initiation factor"
