SampleID,Source,Testbed,Site,Depth,Remains,Flag,X,Y
eDNA-2022-349,Sediment,GreatLakes,Norman,60,1,J,-0.3,0.3
eDNA-2022-350,Sediment,GreatLakes,Norman,60,1,J,-0.3,0.3
eDNA-2022-352,Sediment,GreatLakes,Norman,60,1,G,0.86,0
eDNA-2022-353,Sediment,GreatLakes,Norman,60,1,G,0.86,0
eDNA-2022-354,Sediment,GreatLakes,Norman,60,1,G,0.86,0
eDNA-2022-355,Sediment,GreatLakes,Norman,60,1,H,-0.86,0
eDNA-2022-356,Sediment,GreatLakes,Norman,60,1,H,-0.86,0
eDNA-2022-357,Sediment,GreatLakes,Norman,60,1,H,-0.86,0
eDNA-2022-358,Sediment,GreatLakes,Norman,60,1,D,0,3.46
eDNA-2022-359,Sediment,GreatLakes,Norman,60,1,D,0,3.46
eDNA-2022-360,Sediment,GreatLakes,Norman,60,1,D,0,3.46
eDNA-2022-361,Sediment,GreatLakes,Norman,60,1,II,-3.46,0
eDNA-2022-362,Sediment,GreatLakes,Norman,60,1,II,-3.46,0
eDNA-2022-363,Sediment,GreatLakes,Norman,60,1,II,-3.46,0
eDNA-2022-364,Sediment,GreatLakes,Norman,60,1,I,-4.89,4.89
eDNA-2022-365,Sediment,GreatLakes,Norman,60,1,I,-4.89,4.89
eDNA-2022-366,Sediment,GreatLakes,Norman,60,1,I,-4.89,4.89
eDNA-2022-367,Sediment,GreatLakes,Norman,60,1,DD,4.89,4.89
eDNA-2022-368,Sediment,GreatLakes,Norman,60,1,DD,4.89,4.89
eDNA-2022-369,Sediment,GreatLakes,Norman,60,1,DD,4.89,4.89
eDNA-2022-370,Sediment,GreatLakes,Norman,60,1,E,1.2,1.2
eDNA-2022-371,Sediment,GreatLakes,Norman,60,1,E,1.2,1.2
eDNA-2022-372,Sediment,GreatLakes,Norman,60,1,E,1.2,1.2
eDNA-2022-373,Sediment,GreatLakes,Norman,60,1,CC,0.3,0.3
eDNA-2022-374,Sediment,GreatLakes,Norman,60,1,CC,0.3,0.3
eDNA-2022-375,Sediment,GreatLakes,Norman,60,1,CC,0.3,0.3
